id,code,name
174,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
175,10521,"['物业管理', '综合', '技能', '考核', '物业管理综合技能考核']"
176,11429,"['物业管理', '英语', '物业管理英语']"
177,18960,"['礼仪', '礼仪学']"
178,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
179,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
180,06010,"['旅游', '英语', '旅游英语']"
181,07489,"['应用', '写作', '应用写作']"
182,00054,"['管理学', '原理', '管理学原理']"
183,00192,"['旅游', '市场学', '旅游市场学']"
184,00182,"['公共关系', '公共关系学']"
185,11506,"['旅游', '饭店', '财务管理', '旅游饭店财务管理']"
186,03529,"['国际', '旅游', '饭店', '管理', '国际旅游饭店管理']"
187,02519,"['食品', '营养', '卫生', '食品营养与卫生']"
188,11341,"['国际', '旅游', '国际旅游学']"
189,06123,"['导游', '概论', '导游学概论']"
190,00194,"['旅游', '法规', '旅游法规']"
191,11323,"['办公自动化', '办公自动化']"
192,11509,"['酒店', '管理', '实习', '酒店管理实习']"
193,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
194,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
195,04729,"['大学语文', '大学语文']"
196,00020,"['高等数学', '高等数学（一）']"
197,00009,"['政治经济学', '财经类', '政治经济学（财经类）']"
198,00146,"['中国', '税制', '中国税制']"
199,00041,"['基础', '会计学', '基础会计学']"
200,00065,"['国民经济', '统计', '概论', '国民经济统计概论']"
201,00043,"['经济法', '概论', '财经类', '经济法概论（财经类）']"
202,00155,"['中级', '财务会计', '中级财务会计']"
203,00018,"['计算机', '应用', '基础', '计算机应用基础']"
204,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
205,00067,"['财务', '管理学', '财务管理学']"
206,02600,"['C语言', '程序设计', 'C语言程序设计']"
207,05946,"['关系数据库', '原理', '程序设计', '关系数据库原理与程序设计']"
208,08310,"['会计', '电算化', '会计电算化']"
209,05947,"['会计', '电算化', '课程', '实验', '会计电算化课程实验（一）']"
210,00040,"['法学', '概论', '法学概论']"
211,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
212,12656,"['毛泽东思想', '中国', '特色', '社会主义', '理论体系', '概论', '毛泽东思想和中国特色社会主义理论体系概论']"
213,05361,"['物流', '数学', '物流数学']"
214,05362,"['物流', '英语', '物流英语']"
215,00018,"['计算机', '应用', '基础', '计算机应用基础']"
216,00019,"['计算机', '应用', '基础', '实践', '计算机应用基础（实践）']"
217,05364,"['物流', '企业会计', '物流企业会计']"
218,05728,"['采购', '谈判', '供应商', '选择', '采购谈判与供应商选择']"
219,00147,"['人力', '资源管理', '人力资源管理（一）']"
220,05734,"['商业', '组织', '过程', '商业组织与过程']"
221,05727,"['采购', '原理', '战略', '采购原理与战略']"
222,05729,"['国际', '物流', '国际物流']"
223,05730,"['采购', '环境', '供应', '市场', '分析', '采购环境与供应市场分析']"
224,05731,"['采购', '绩效', '测量', '商业', '分析', '采购绩效测量与商业分析']"
225,05732,"['采购', '过程', '合同', '管理', '采购过程与合同管理']"
226,03706,"['思想', '道德修养', '法律', '基础', '思想道德修养与法律基础']"
